source,target,relation
1,BC133,uses
2,BC133,uses
3,BC133,uses
4,BC133,uses
1,BC473,uses
4,BC473,uses
1,BC693,uses
4,BC693,uses
2,BC693,uses
3,BC693,uses
1,BC314,uses
4,BC314,uses
1,BC413,uses
4,BC413,uses
1,BC486,uses
4,BC486,uses
1,BC324,uses
4,BC324,uses
1,BC673,uses
4,BC673,uses
1,BC264,uses
4,BC264,uses
1,BC239,uses
2,BC239,uses
3,BC239,uses
4,BC239,uses
1,BC686,uses
4,BC686,uses
1,BC083,uses
2,BC083,uses
3,BC083,uses
4,BC083,uses
1,BC671,uses
1,BC248,uses
4,BC248,uses
1,BC244,uses
4,BC244,uses
1,BC628,uses
4,BC628,uses
1,BC420,uses
4,BC420,uses
1,BC225,uses
2,BC225,uses
3,BC225,uses
4,BC225,uses
1,BC454,uses
4,BC454,uses
1,BC681,uses
4,BC681,uses
2,BC681,uses
3,BC681,uses
1,BC721,uses
2,BC721,uses
3,BC721,uses
4,BC721,uses
1,BC723,uses
1,BC452,uses
2,BC452,uses
3,BC452,uses
4,BC452,uses
1,BC063,uses
1,BC183,uses
2,BC183,uses
3,BC183,uses
4,BC183,uses
1,BC634,uses
2,BC634,uses
3,BC634,uses
1,BC308,uses
2,BC308,uses
3,BC308,uses
4,BC308,uses
1,BC012,uses
4,BC012,uses
1,BC160,uses
2,BC160,uses
3,BC160,uses
4,BC160,uses
1,BC607,uses
2,BC607,uses
3,BC607,uses
4,BC607,uses
1,BC178,uses
2,BC178,uses
3,BC178,uses
4,BC178,uses
1,BC303,uses
2,BC303,uses
3,BC303,uses
4,BC303,uses
1,BC157,uses
2,BC157,uses
3,BC157,uses
4,BC157,uses
1,BC174,uses
4,BC174,uses
1,BC019,uses
1,BC411,uses
1,BC018,uses
1,BC727,uses
2,BC727,uses
3,BC727,uses
4,BC727,uses
1,BC288,uses
2,BC288,uses
3,BC288,uses
4,BC288,uses
1,BC306,uses
2,BC306,uses
3,BC306,uses
4,BC306,uses
1,BC304,uses
2,BC304,uses
3,BC304,uses
4,BC304,uses
1,BC320,uses
4,BC320,uses
1,BC322,uses
4,BC322,uses
2,BC322,uses
3,BC322,uses
1,BC079,uses
4,BC079,uses
1,BC606,uses
4,BC606,uses
1,BC281,uses
1,BC293,uses
1,BC050,uses
1,BC624,uses
4,BC624,uses
2,BC624,uses
3,BC624,uses
1,BC312,uses
4,BC312,uses
1,BC073,uses
4,BC073,uses
1,BC282,uses
4,BC282,uses
1,BC082,uses
1,BC279,uses
2,BC279,uses
3,BC279,uses
4,BC279,uses
1,BC067,uses
2,BC067,uses
3,BC067,uses
4,BC067,uses
1,BC537,uses
4,BC537,uses
2,BC537,uses
3,BC537,uses
1,BC525,uses
4,BC525,uses
1,BC093,uses
2,BC093,uses
3,BC093,uses
4,BC093,uses
1,BC077,uses
2,BC077,uses
3,BC077,uses
4,BC077,uses
1,BC195,uses
2,BC195,uses
3,BC195,uses
4,BC195,uses
1,BC245,uses
2,BC245,uses
3,BC245,uses
4,BC245,uses
1,BC685,uses
2,BC685,uses
3,BC685,uses
4,BC685,uses
1,BC477,uses
2,BC477,uses
3,BC477,uses
4,BC477,uses
1,BC246,uses
2,BC246,uses
3,BC246,uses
1,BC166,uses
2,BC166,uses
3,BC166,uses
4,BC166,uses
1,BC126,uses
2,BC126,uses
3,BC126,uses
4,BC126,uses
1,BC095,uses
2,BC095,uses
3,BC095,uses
4,BC095,uses
1,BC074,uses
2,BC074,uses
3,BC074,uses
4,BC074,uses
1,BC235,uses
4,BC235,uses
1,BC722,uses
4,BC722,uses
1,BC549,uses
4,BC549,uses
1,BC660,uses
2,BC660,uses
3,BC660,uses
4,BC660,uses
1,BC065,uses
4,BC065,uses
2,BC065,uses
3,BC065,uses
1,BC382,uses
2,BC382,uses
3,BC382,uses
4,BC382,uses
1,BC548,uses
4,BC548,uses
2,BC548,uses
3,BC548,uses
1,BC223,uses
2,BC223,uses
3,BC223,uses
4,BC223,uses
1,BC108,uses
2,BC108,uses
3,BC108,uses
1,BC326,uses
2,BC326,uses
3,BC326,uses
4,BC326,uses
1,BC605,uses
2,BC605,uses
3,BC605,uses
4,BC605,uses
1,BC656,uses
4,BC656,uses
1,BC129,uses
2,BC129,uses
3,BC129,uses
1,BC163,uses
4,BC163,uses
1,BC056,uses
2,BC056,uses
3,BC056,uses
4,BC056,uses
1,BC103,uses
2,BC103,uses
3,BC103,uses
4,BC103,uses
1,BC112,uses
2,BC112,uses
3,BC112,uses
4,BC112,uses
1,BC502,uses
2,BC502,uses
3,BC502,uses
4,BC502,uses
1,BC684,uses
2,BC684,uses
3,BC684,uses
1,BC251,uses
2,BC251,uses
3,BC251,uses
4,BC251,uses
1,BC618,uses
4,BC618,uses
2,BC618,uses
3,BC618,uses
1,BC517,uses
4,BC517,uses
1,BC297,uses
2,BC297,uses
3,BC297,uses
4,BC297,uses
1,BC273,uses
2,BC273,uses
3,BC273,uses
4,BC273,uses
1,BC697,uses
4,BC697,uses
1,BC276,uses
2,BC276,uses
3,BC276,uses
4,BC276,uses
1,BC446,uses
4,BC446,uses
1,BC313,uses
4,BC313,uses
1,BC622,uses
2,BC622,uses
3,BC622,uses
4,BC622,uses
T000ATP,T000,requires
CMX_XSH_DEST,T000,requires
CMX_XSH_DEST,T001W,requires
CMX_XSH_DEST,TC85,requires
TZPAB,T000,requires
TZPAB,T001,requires
TZPAB,TZPA,requires
TZPAB,TWX1,requires
TZPAB,TZN02,requires
TZPAB,T042Z,requires
TZPAB,T008,requires
TZPAB,TD21,requires
TZPAB,TVZ01,requires
TZPAB,T074U,requires
TZPAB,T037,requires
TZPAB,T040S,requires
TZPAB,TCURC,requires
TZPAB,TRGC_COM_VALCL,requires
/SCMTMS/C_LOINT,/SCMTMS/C_STGPR,requires
/LTB/TRATTR,/LTB/TRHDR,requires
/LTB/TRATTR,/LTB/TRATT_DEF,requires
IUUC_S4_KB_TLK_R,IUUC_S4_KB_TLK_G,requires
FUCBC_MTD_ASSGMT,FUCBC_METHOD,requires
CPEC_FORMROUND,TBDLS,requires
CPEC_FORMROUND,CPEC_FORMULA,requires
CPEC_TERMROUND,TBDLS,requires
CPEC_TERMROUND,CPEC_TERM,requires
/PLMF/CA,T000,requires
/PLMF/CA,/PLMF/SCEN,requires
/PLMF/CA,/PLMF/SCENVS,requires
/PLMF/CA,TCLA,requires
/PLMF/CVM,T000,requires
/PLMF/CVM,/PLMF/SCEN,requires
/PLMF/CVM,/PLMF/SCENVS,requires
/PLMF/CVM,/PLMF/CA,requires
/PLMF/CVM,TCLA,requires
OIU_DSD_INSTR_T,OIU_DSD_INSTR,requires
FOT_TXA_TP_ACC,T000,requires
FOT_TXA_TP_ACC,T003,requires
/BCV/C_DISPLAS,/BCV/C_DISTYPE,requires
/BCV/C_DISTYPT,/BCV/C_DISTYPE,requires
/BCV/C_DISUBT,/BCV/C_DISTYPE,requires
/BCV/C_DSWF,/BCV/C_SRCH,requires
/BCV/C_GRPINGT,/BCV/C_GRPING,requires
/BCV/C_QVIEWGA,/BCV/C_CLF,requires
/BCV/C_QVIEWGA,/BCV/C_QVIEW,requires
/BCV/C_QVIEWGA,/BCV/C_GRPING,requires
/PLMB/GOS_PAMAX,T000,requires
/PLMB/GOS_PAMAX,/PLMB/GOS_OTYPE,requires
/PLMB/NAV_HETCOL,/PLMB/NAV_OTYP,requires
/SMB/Q2P_TESTLAN,/SMB/Q2P_TESTMAI,requires
SITH_T_ANCPARM_C,SITH_T_DEF_C,requires
SITH_T_COND_WF_C,SITH_T_DEF_C,requires
SITH_T_NOTIF_C_T,SITH_T_NOTIF_C,requires
SITH_T_PARAM_C,SITH_T_DEF_C,requires
EDI_I_TEXT_TYP_T,EDI_I_TEXT_TYPES,requires
MMPROC_TEAM_PACK,MMPROC_TEAM,requires
POC_I_BA,POC_I_BO_TYPE,requires
POC_I_BA,POC_I_BA_TYPE,requires
EDOIT_EXSYST,EDOIT_EXSYS,requires
CRMC_SSC_PAN,CRMC_SSC_SCP_DEF,requires
TEST_T682Z,T681V,requires
TEST_T682Z,T681A,requires
TEST_T682ZA,T681V,requires
TEST_T682ZA,T681A,requires
T682ZA,T681V,requires
T682ZA,T681A,requires
T682ZA,T682IA,requires
TFPM042FC,TFPM042F,requires
TFPM042FC,TCP00,requires
EDOMSGDCSDOCMAP,EDODCSDOCTYPE,requires
/SCWM/WI_LOGSYST,/SCWM/WI_LOGSYS,requires
EDOEUDOCTYPEIDT,EDOEUDOCTYPEID,requires
TCGWF2,T000,requires
TCGWF4,T000,requires
TCGWF4,TCGWF2,requires
TCGWF4,TCG11,requires
TCGWF6,TCGWF2,requires
TCGWF7,T000,requires
TCGWF7,TCGWF1,requires
TCGWF7,TCG11,requires
TCGR3,T000,requires
TCGR3,T005,requires
TCGR3,TCGL1,requires
TCGR3,TVKO,requires
CCIHC_IATYPE,T000,requires
CCIHC_IHTYPE,T000,requires
CCIHC_IHTYPE,CCIHC_IHOBJ,requires
CCIHC_IHTYPE1,T000,requires
CCIHC_MJCAT,T000,requires
CCIHC_MPWATYPE,CCIHC_WA01,requires
CCIHC_MSOURCE,T000,requires
CCIHC_FATYPE,T000,requires
CCIHC_MPLEVELRPT,CCIHC_MPTYPE,requires
CCIHC_MPLEVELRPT,CCIHC_MJCAT,requires
